idbel_white,fullname_white,belrating_white,result,idbel_black,fullname_black,belrating_black
21369,"De Roo, Luc",1942,½-½,39373,"Vercauteren, Daniel",1604
47104,"Bes, Nikolaas",1720,1-0,53805,"Verhulst, Tobias",1871
14263,"Van Amerongen, Mart",1764,0-1,51292,"Peeters, Bart",1666
23311,"Guldentops, Pierre",1643,0-1,16115,"De Haeck, Sebastiaan",1728
15048,"Gherbi, Reda",1663,1-0,21041,"Laporte, Erik",1602
34274,"Steenlandt, Alain",1745,½-½,80055,"De Vroe, Philip",1771
19216,"Pauwels, Rudi",1727,½-½,45276,"Tytgat, Karel",1640
12261,"Pierloot, Luc",1624,1-0,3174,"Van Wassenhove, Marc",1777
29271,"Grootaert, Luc",1631,½-½,23118,"Dejonghe, Yannis",1379
32140,"Lepers, Philippe",1708,0-1,6785,"Devolder, Pieter",1797
8222,"Mortier, Johan",1830,0-1,17398,"Malfait, Ward",1684
21843,"Van Keirsbilck, Ilias",1553,1-0,39934,"Deloof, Koen",1658
56553,"Meignen, Gaetan",1647,1-0,10839,"De Wandel, Marc",1456
8320,"Lanckriet, Chris",1905,1-0,9989,"Delafontaine, Brant",1829
10057,"Callens, Freddy",1801,1-0,15132,"De Putter, Sven",1563
16353,"De Putter, Peter",1651,0-1,10542,"Daels, Ilse",1663
10544,"Daels, Emma",1629,½-½,23381,"Frouws, Willem",1628
13162,"Liveyns, Rune",1830,0-1,11669,"Vanhuyse, Nele",2019
11572,"Lenders, Ivan",1905,1-0,13529,"Temmerman, Sara",1799
13522,"Temmerman, Sander",1728,1-0,11541,"De Baets, Christof",1727
